Player Name,Day,Month,Birth Year,Birth Date,Age,Market Value,Code,Team,Position
Ahmed Safi,14,1,1984,14/01/1984,40,100000,102,Aswan Sc,Right Back
Amr El Halwani,15,3,1985,15/03/1985,39,150000,104,Aswan Sc,Left Back
Haytham El Fil,20,12,1984,20/12/1984,39,50000,106,Aswan Sc,Defensive Midfield
Ahmed Abdelzaher,15,1,1985,15/01/1985,39,100000,108,Aswan Sc,Centre Forward
Talaat El Gabalawy,13,9,1987,13/09/1987,37,25000,110,Aswan Sc,Goal Keeper
Sayed Farid,11,5,1987,11/05/1987,37,200000,112,Aswan Sc,Centre Back
Abdelaziz Mousa,8,7,1989,08/07/1989,35,150000,114,Aswan Sc,Defensive Midfield
Ahmed Sobhi,4,3,1991,04/03/1991,33,100000,116,Aswan Sc,Right Back
Emmanuel Karbogi,31,3,1991,31/03/1991,33,200000,118,Aswan Sc,Defensive Midfield
Mohamed El Ashri,22,6,1991,22/06/1991,33,100000,120,Aswan Sc,Centre Back
Solomon Mensah,6,5,1992,06/05/1992,32,100000,122,Aswan Sc,Defensive Midfield
Ahmed Elalfi,1,1,1992,01/01/1992,32,150000,124,Aswan Sc,Left Winger
Mido,1,1,1994,01/01/1994,30,150000,126,Aswan Sc,Centre Back
Elhusseini Samir,1,1,1994,01/01/1994,30,50000,128,Aswan Sc,Left Midfield
Mohamed Gamal Treka,27,10,1993,27/10/1993,30,150000,130,Aswan Sc,Attacking Midfield
Khaled Walid,9,1,1995,09/01/1995,29,50000,132,Aswan Sc,Goal Keeper
Mahmoud Shaba,6,4,1995,06/04/1995,29,100000,134,Aswan Sc,Centre Back
Mahmoud Salah,10,10,1994,10/10/1994,29,150000,136,Aswan Sc,Right Winger
Ahmed Dahroug,1,1,1996,01/01/1996,28,,138,Aswan Sc,Left Back
Mohamed Osama,1,7,1995,01/07/1995,29,150000,140,Aswan Sc,Central Midfield
Mohamed Khalifa,7,7,1995,07/07/1995,29,50000,142,Aswan Sc,Central Midfield
Omar Radwan,31,7,1997,31/07/1997,27,100000,144,Aswan Sc,Goal Keeper
Fady Talaat,20,9,1997,20/09/1997,26,25000,146,Aswan Sc,Defensive Midfield
Ashraf Magdy,26,7,1997,26/07/1997,27,25000,148,Aswan Sc,Left Winger
Bebo,24,5,1997,24/05/1997,27,100000,150,Aswan Sc,Centre Forward
Ahmed El-Saghiri,10,6,1998,10/06/1998,26,200000,152,Aswan Sc,Defensive Midfield
Ahmed Belia,28,3,1999,28/03/1999,25,25000,154,Aswan Sc,Defensive Midfield
Omar Youssef,3,11,1998,03/11/1998,25,,156,Aswan Sc,Defensive Midfield
Ahmed Khaled,17,10,1998,17/10/1998,25,25000,158,Aswan Sc,Attacking Midfield
Amr Reda,18,1,1999,18/01/1999,25,,160,Aswan Sc,Attacking Midfield
Amr Sser,8,3,1999,08/03/1999,25,100000,162,Aswan Sc,Centre Forward
Hamza Magdi,1,1,1999,01/01/1999,25,,164,Aswan Sc,Centre Forward
Said Kanté,22,5,1999,22/05/1999,25,25000,166,Aswan Sc,Defensive Midfield
Omar Al Dahi,15,12,1999,15/12/1999,24,50000,168,Aswan Sc,Right Midfield
Ramy Sabry,5,1,1987,05/01/1987,37,200000,170,Enppi Sc,
Ibrahim Yehia,17,10,1987,17/10/1987,36,200000,172,Enppi Sc,Centre Back
Ibrahim El Kadi,6,2,1990,06/02/1990,34,150000,174,Enppi Sc,Centre Back
Mohamed Morsi,1,1,1990,01/01/1990,34,150000,176,Enppi Sc,Attacking Midfield
Zied Boughattas,5,12,1990,05/12/1990,33,525000,178,Enppi Sc,Centre Back
Salah Rico,6,2,1991,06/02/1991,33,250000,180,Enppi Sc,Central Midfield
Amr Hossam,29,8,1991,29/08/1991,33,50000,182,Enppi Sc,Goalkeeper
Ali Fawzi,17,3,1992,17/03/1992,32,250000,184,Enppi Sc,Right Back
Abdelrahman Amer,17,11,1991,17/11/1991,32,250000,186,Enppi Sc,Defensive Midfield
Kareem Tarek,23,1,1992,23/01/1992,32,300000,188,Enppi Sc,Left Winger
Ahmed El Agouz,4,5,1993,04/05/1993,31,200000,190,Enppi Sc,Defensive Midfield
Mahmoud Ghaly,22,7,1992,22/07/1992,32,150000,192,Enppi Sc,Central Midfield
Dinopeter Jude Airaodion,24,11,1992,24/11/1992,31,,194,Enppi Sc,Right Winger
Ehab Samir,2,7,1993,02/07/1993,31,100000,196,Enppi Sc,Left Back
Mahmoud Im,9,4,1994,09/04/1994,30,150000,198,Enppi Sc,Right Back
Ibrahim Galal,14,2,1994,14/02/1994,30,200000,200,Enppi Sc,Centre Forward
Omar Bassam,17,12,1993,17/12/1993,30,150000,202,Enppi Sc,Centre Forward
Mostafa Shalaby,1,1,1995,01/01/1995,29,,204,Enppi Sc,Attacking Midfield
Abdelaziz El Balouti,14,12,1995,14/12/1995,28,150000,206,Enppi Sc,Goalkeeper
Mahmoud Ali Sedik,1,1,1996,01/01/1996,28,,208,Enppi Sc,Midfield
Ismaël Sawadogo,28,2,1996,28/02/1996,28,,210,Enppi Sc,Defensive Midfield
Girgis Magdy,7,1,1996,07/01/1996,28,25000,212,Enppi Sc,Attacking Midfield
Mohab Yasser,18,3,1997,18/03/1997,27,100000,214,Enppi Sc,Attacking Midfield
John Ebuka,12,11,1996,12/11/1996,27,100000,216,Enppi Sc,Centre Forward
Hesham Adel,20,2,1998,20/02/1998,26,50000,218,Enppi Sc,Centre Back
Abdallah Adel,2,2,1998,02/02/1998,26,25000,220,Enppi Sc,Left Back
Mahmoud Gad,11,10,1998,11/10/1998,25,250000,222,Enppi Sc,Goalkeeper
Ahmed Youssef,2,5,1999,02/05/1999,25,200000,224,Enppi Sc,Defensive Midfield
Mostafa Dowidar,7,2,1999,07/02/1999,25,150000,226,Enppi Sc,Right Midfield
Abdelrahman Emad,10,4,1999,10/04/1999,25,150000,228,Enppi Sc,Attacking Midfield
Mohamed Ismail,1,8,1999,01/08/1999,25,200000,230,Enppi Sc,Centre Back
Karim Fouad,1,10,1999,01/10/1999,24,100000,232,Enppi Sc,Left Back
Ahmed Kasem,25,2,2000,25/02/2000,24,25000,234,Enppi Sc,Defensive Midfield
Mostafa Shakshak,6,4,2000,06/04/2000,24,,236,Enppi Sc,Defensive Midfield
Mohamed Tawakol,1,1,2000,01/01/2000,24,,238,Enppi Sc,Left Winger
Mohamed Sherif,26,5,1999,26/05/1999,25,,240,Enppi Sc,Right Winger
Ziad Kamal,1,1,2001,01/01/2001,23,150000,242,Enppi Sc,Defensive Midfield
Abdelrahman Ashri,20,9,2001,20/09/2001,22,25000,244,Enppi Sc,Defensive Midfield
Mohamed El Shewy,18,12,1988,18/12/1988,35,2500000,246,El Ahly,Goalkeeper
Ali Lotfi,14,10,1989,14/10/1989,34,250000,248,El Ahly,Goalkeeper
Oufa Shobeir,17,3,2000,17/03/2000,24,100000,250,El Ahly,Goalkeeper
Ayman Ashraf,9,4,1991,09/04/1991,33,1200000,252,El Ahly,Centre Back
Badr Benoun,30,9,1993,30/09/1993,30,1100000,254,El Ahly,Centre Back
Rami Rabia,20,5,1993,20/05/1993,31,800000,256,El Ahly,Centre Back
Yasser Ibrahim,10,2,1993,10/02/1993,31,600000,258,El Ahly,Centre Back
Mahmoud Metwaly,4,1,1993,04/01/1993,31,500000,260,El Ahly,
Saad Samir,1,4,1989,01/04/1989,35,500000,262,El Ahly,Centre Back
Mido,12,1,2000,12/01/2000,24,,264,El Ahly,Centre Back
Ali Maâloul,1,1,1990,01/01/1990,34,1500000,266,El Ahly,
Mahmoud Wahid,19,6,1994,19/06/1994,30,400000,268,El Ahly,Left Back
Mohamed Hany,25,1,1996,25/01/1996,28,1000000,270,El Ahly,Right Back
Beckham,23,3,1997,23/03/1997,27,400000,272,El Ahly,Right Back
Aliou Dieng,16,10,1997,16/10/1997,26,1500000,274,El Ahly,Defensive Midfield
Hamdi Fathi,1,1,1994,01/01/1994,30,800000,276,El Ahly,Defensive Midfield
Akram Tawfik,8,11,1997,08/11/1997,26,400000,278,El Ahly,Defensive Midfield
Ahmed Kouka,4,7,2001,04/07/2001,23,25000,280,El Ahly,Defensive Midfield
Amr El Solia,2,4,1990,02/04/1990,34,1500000,282,El Ahly,Central Midfield
Mohamed Mahmoud,7,5,1998,07/05/1998,26,300000,284,El Ahly,
Karim Nedved,8,8,1997,08/08/1997,27,250000,286,El Ahly,Central Midfield
Afsha Attacking,6,3,1996,06/03/1996,28,1500000,288,El Ahly,Midfield
Sser Maher,8,2,1997,08/02/1997,27,800000,290,El Ahly,Attacking Midfield
Walid Soliman,1,12,1984,01/12/1984,39,300000,292,El Ahly,Attacking Midfield
Junior Ajayi,29,1,1996,29/01/1996,28,1500000,294,El Ahly,
Kahraba,13,4,1994,13/04/1994,30,1200000,296,El Ahly,Winger Left
Taher Mohamed,7,3,1997,07/03/1997,27,600000,298,El Ahly,Left Winger
Hussein El Shahat,21,6,1992,21/06/1992,32,1200000,300,El Ahly,Right Winger
Marwan Mohsen,26,2,1989,26/02/1989,35,1000000,302,El Ahly,Centre Forward
Mohamed Sherif,4,2,1996,04/02/1996,28,800000,304,El Ahly,Centre Forward
Salah Mohsen,1,9,1998,01/09/1998,26,600000,306,El Ahly,Centre Forward
Walter Bwalya,5,5,1995,05/05/1995,29,400000,308,El Ahly,Centre Forward
Mohamed Sobhy,30,8,1981,30/08/1981,43,100000,310,Ismaily Sc,
Der Ramadan,1,12,1990,01/12/1990,33,150000,312,Ismaily Sc,Defensive Midfield
Hussein El Sayed,18,9,1991,18/09/1991,32,300000,314,Ismaily Sc,Left Back
Fakhreddine Ben Youssef,23,6,1991,23/06/1991,33,600000,316,Ismaily Sc,Centre Forward
Redouane Cherifi,22,2,1993,22/02/1993,31,400000,318,Ismaily Sc,Left Back
Abdallah Gomaa Awad,26,2,1993,26/02/1993,31,150000,320,Ismaily Sc,Right Back
Emad Hamdi,14,1,1993,14/01/1993,31,350000,322,Ismaily Sc,Defensive Midfield
Mahmoud Dunga,2,12,1992,02/12/1992,31,250000,324,Ismaily Sc,Defensive Midfield
Benson Shilongo,18,5,1992,18/05/1992,32,250000,326,Ismaily Sc,Centre Forward
Mohamed Fawzi,10,7,1993,10/07/1993,31,150000,328,Ismaily Sc,Goalkeeper
Mohamed Hassan,3,10,1993,03/10/1993,30,250000,330,Ismaily Sc,Defensive Midfield
Ary Papel,3,3,1994,03/03/1994,30,400000,332,Ismaily Sc,Left Winger
Shokry Guib,1,5,1994,01/05/1994,30,200000,334,Ismaily Sc,Centre Forward
Mohamed Magdy,1,1,1995,01/01/1995,29,200000,336,Ismaily Sc,Goalkeeper
Omar El Wahsh,3,4,1995,03/04/1995,29,250000,338,Ismaily Sc,Central Midfield
Ahmed Madbouli,20,11,1994,20/11/1994,29,350000,340,Ismaily Sc,Left Winger
Marouane Sahraoui,9,1,1996,09/01/1996,28,450000,342,Ismaily Sc,Centre Back
Mohamed Hashem,29,10,1995,29/10/1995,28,300000,344,Ismaily Sc,Centre Back
Mohamed Adel,29,9,1995,29/09/1995,28,250000,346,Ismaily Sc,Central Midfield
Mohamed El Shami,1,1,1996,01/01/1996,28,300000,348,Ismaily Sc,Centre Forward
Baher El Mohamady,1,11,1996,01/11/1996,27,400000,350,Ismaily Sc,Centre Back
Medhat Faosaa,21,3,1997,21/03/1997,27,100000,352,Ismaily Sc,Attacking Midfield
Ahmed El Aash,1,1,1998,01/01/1998,26,50000,354,Ismaily Sc,Centre Back
Ahmed Ayman,1,9,1997,01/09/1997,27,200000,356,Ismaily Sc,Right Back
Mohamed Sadek,6,7,1997,06/07/1997,27,250000,358,Ismaily Sc,Attacking Midfield
Mostafa Fares,24,9,1997,24/09/1997,26,50000,360,Ismaily Sc,Attacking Midfield
Ahmed Mostafa,21,10,1997,21/10/1997,26,150000,362,Ismaily Sc,Left Winger
Abdelrahman Magdi,12,9,1997,12/09/1997,27,600000,364,Ismaily Sc,Right Winger
Mostafa El Zery,9,4,1999,09/04/1999,25,150000,366,Ismaily Sc,Centre Back
Ahmed Castelo,1,1,1999,01/01/1999,25,,368,Ismaily Sc,Centre Back
Mahmoud El Badry,24,3,1999,24/03/1999,25,250000,370,Ismaily Sc,Left Back
Mohamed Ser,6,3,1999,06/03/1999,25,25000,372,Ismaily Sc,Right Back
Kamal El Sayed,10,10,1999,10/10/1999,24,25000,374,Ismaily Sc,Goalkeeper
Mohamed Ammar,1,9,1999,01/09/1999,25,150000,376,Ismaily Sc,Centre Back
Mohamed Bayoumi,7,4,2000,07/04/2000,24,200000,378,Ismaily Sc,Right Back
Mohamed Eldarf,2,7,1999,02/07/1999,25,100000,380,Ismaily Sc,Defensive Midfield
Zeyad Tarek,1,1,2000,01/01/2000,24,,382,Ismaily Sc,Attacking Midfield
Emad El-Sayed,6,4,1986,06/04/1986,38,200000,384,Ittihad Alexandria,Goalkeeper
Hossam Ashour,9,3,1986,09/03/1986,38,250000,386,Ittihad Alexandria,Defensive Midfield
Mohamed Anwar,1,2,1988,01/02/1988,36,100000,388,Ittihad Alexandria,Centre Back
Elsayed Salem,10,7,1987,10/07/1987,37,200000,390,Ittihad Alexandria,Left Back
Sabri Rahil,2,10,1987,02/10/1987,36,150000,392,Ittihad Alexandria,Left Back
Khaled Kamar,2,2,1988,02/02/1988,36,250000,394,Ittihad Alexandria,
Mahmoud Rizk,1,1,1990,01/01/1990,34,200000,396,Ittihad Alexandria,Centre Back
Mohamed Atwa,15,7,1990,15/07/1990,34,150000,398,Ittihad Alexandria,Centre Back
Ahmed Manga,3,10,1991,03/10/1991,32,250000,400,Ittihad Alexandria,Defensive Midfield
Khaled El Ghandour,15,5,1991,15/05/1991,33,200000,402,Ittihad Alexandria,Attacking Midfield
Amr Khalil,1,1,1993,01/01/1993,31,100000,404,Ittihad Alexandria,Goalkeeper
Damion Lowe,5,5,1993,05/05/1993,31,325000,406,Ittihad Alexandria,Centre Back
Emmanuel Okwi,25,12,1992,25/12/1992,31,250000,408,Ittihad Alexandria,Left Winger
Karim Mamdouh,11,3,1993,11/03/1993,31,150000,410,Ittihad Alexandria,Right Winger
Omar Al Midani,26,1,1994,26/01/1994,30,200000,412,Ittihad Alexandria,Centre Back
Mahmoud Shaaban,1,1,1995,01/01/1995,29,200000,414,Ittihad Alexandria,Right Back
Karim El Deeb,25,2,1995,25/02/1995,29,200000,416,Ittihad Alexandria,Central Midfield
Mohamed El Sabahi,14,6,1994,14/06/1994,30,200000,418,Ittihad Alexandria,Left Winger
Romario Williams,15,8,1994,15/08/1994,30,350000,420,Ittihad Alexandria,Centre Forward
Ahmed Rashed,26,7,1994,26/07/1994,30,200000,422,Ittihad Alexandria,Centre Forward
Sobhi Soliman,1,1,1997,01/01/1997,27,,424,Ittihad Alexandria,Goalkeeper
Marwan El Gar,23,2,1997,23/02/1997,27,100000,426,Ittihad Alexandria,Centre Back
Ahmed Heggy,26,4,1997,26/04/1997,27,150000,428,Ittihad Alexandria,Right Winger
Hesham Salah,10,6,1997,10/06/1997,27,25000,430,Ittihad Alexandria,Right Back
Karim Yehia,21,5,1998,21/05/1998,26,150000,432,Ittihad Alexandria,Centre Back
Ragab El Safi,20,4,1999,20/04/1999,25,50000,434,Ittihad Alexandria,Centre Back
Marwan Ateya,1,8,1998,01/08/1998,26,200000,436,Ittihad Alexandria,Defensive Midfield
Youssef Hassan,8,9,1998,08/09/1998,26,50000,438,Ittihad Alexandria,Central Midfield
Mohamed Kamel,1,1,1999,01/01/1999,25,25000,440,Ittihad Alexandria,Attack
Razack Cissé,30,12,1998,30/12/1998,25,500000,442,Ittihad Alexandria,Left Winger
Fawzi El Hewy,29,9,1998,29/09/1998,25,150000,444,Ittihad Alexandria,Left Winger
Semo,1,12,1998,01/12/1998,25,,446,Ittihad Alexandria,Winger Left
Mohamed Sobhi,15,7,1999,15/07/1999,25,150000,448,Ittihad Alexandria,Goalkeeper
Mostafa Ibrahim,20,4,2000,20/04/2000,24,,450,Ittihad Alexandria,Centre Back
Amar Hamdi,26,11,1999,26/11/1999,24,250000,452,Ittihad Alexandria,Attacking Midfield
Ahmed Hamdin,1,1,2001,01/01/2001,23,,454,Ittihad Alexandria,Centre Forward
Abdelghani Mohamed,2,2,2002,02/02/2002,22,100000,456,Ittihad Alexandria,Attacking Midfield
Ibrahim Abdel-Khalik,20,4,1986,20/04/1986,38,150000,458,Entag El Harby,Defensive Midfield
Ahmed Busca,20,9,1986,20/09/1986,37,100000,460,Entag El Harby,Goalkeeper
Ahmed Yehia,16,6,1988,16/06/1988,36,100000,462,Entag El Harby,Goalkeeper
Ahmed Ali,8,8,1988,08/08/1988,36,100000,464,Entag El Harby,Right Back
Mohamed Sosta,13,9,1988,13/09/1988,36,100000,466,Entag El Harby,Central Midfield
Moaz El Hewy,29,1,1990,29/01/1990,34,200000,468,Entag El Harby,Centre Back
Mohamed Tarek,5,5,1990,05/05/1990,34,150000,470,Entag El Harby,Left Back
Mohamed Talaat,14,5,1989,14/05/1989,35,200000,472,Entag El Harby,
Mohamed Ahmed El,9,1,1991,09/01/1991,33,25000,474,Entag El Harby,Goalkeeper
Taha,17,4,1991,17/04/1991,33,150000,476,Entag El Harby,Centre Back
Mohamed Ramadan,20,11,1990,20/11/1990,33,150000,478,Entag El Harby,Attacking Midfield
Ali Fathi,2,1,1992,02/01/1992,32,100000,480,Entag El Harby,Left Back
Mohamed Shawky Gharib,25,9,1991,25/09/1991,32,100000,482,Entag El Harby,
Mohamed El Shebini,1,1,1993,01/01/1993,31,100000,484,Entag El Harby,Centre Back
Sayed Shabrawy,1,4,1993,01/04/1993,31,150000,486,Entag El Harby,Right Back
Ahmed Hassan,12,4,1993,12/04/1993,31,,488,Entag El Harby,Midfield
Himid Mao Mkami,5,11,1992,05/11/1992,31,200000,490,Entag El Harby,Defensive Midfield
Mohamed Bazoka,1,9,1993,01/09/1993,31,300000,492,Entag El Harby,Centre Back
Ahmed Saber,21,5,1993,21/05/1993,31,100000,494,Entag El Harby,Centre Back
Mahmoud Adel,5,6,1993,05/06/1993,31,200000,496,Entag El Harby,Defensive Midfield
Alaa Salama,2,7,1993,02/07/1993,31,200000,498,Entag El Harby,Attacking Midfield
Ahmed Afifi,24,5,1993,24/05/1993,31,200000,500,Entag El Harby,Left Winger
Mohamed Sanogo Vieira,31,7,1993,31/07/1993,31,200000,502,Entag El Harby,Right Winger
Mohamed Abdelmaguid,30,12,1993,30/12/1993,30,100000,504,Entag El Harby,Centre Forward
Mamadou Ndioko Niass,4,6,1994,04/06/1994,30,200000,506,Entag El Harby,Right Winger
Rafik Kamergi,16,1,1995,16/01/1995,29,250000,508,Entag El Harby,Centre Forward
Islam Gaber,8,8,1995,08/08/1995,29,25000,510,Entag El Harby,Centre Back
Mahmoud Abdelbi,5,12,1995,05/12/1995,28,25000,512,Entag El Harby,Defensive Midfield
Hassan Yassin,1,1,1996,01/01/1996,28,,514,Entag El Harby,Attacking Midfield
Gham Mohamed,12,3,1997,12/03/1997,27,250000,516,Entag El Harby,Central Midfield
Mostafa El Gamal,31,3,1997,31/03/1997,27,150000,518,Entag El Harby,Central Midfield
Mohamed El Ghandour,1,8,1997,01/08/1997,27,50000,520,Entag El Harby,Goalkeeper
Mostafa El Badry,2,7,1997,02/07/1997,27,100000,522,Entag El Harby,Left Winger
Wagih Abdelhakim,1,3,1998,01/03/1998,26,200000,524,Entag El Harby,Right Winger
El Limby,1,1,1999,01/01/1999,25,25000,526,Entag El Harby,Defensive Midfield
Abdelrahman Shika,1,1,1999,01/01/1999,25,150000,528,Entag El Harby,Right Winger
Mahmoud Ragab,1,1,1999,01/01/1999,25,50000,530,Entag El Harby,Right Winger
Khaled Ramadan,1,1,1999,01/01/1999,25,25000,532,Entag El Harby,Right Winger
Fadel Sherif,1,1,2001,01/01/2001,23,50000,534,Entag El Harby,Right Winger
Mostafa Abdelrahim,,NA,,#VALUE!,#VALUE!,,536,Entag El Harby,Midfield
Mohamed Koffi,30,12,1986,30/12/1986,37,200000,538,Bank El Ahly,Centre Back
Ahmed Ali,21,5,1986,21/05/1986,38,300000,540,Bank El Ahly,Centre Forward
Mahmoud Sayed,1,1,1988,01/01/1988,36,200000,542,Bank El Ahly,Central Midfield
